scenario,instance,reschedule_rate_pct,highstab_threshold_P50,method,trial,union_hv,highstab_hv,aoc
ta21S,ta21_ta21_delay97,32,12,GA,6,1.002378,0.000000,0.522306
ta21S,ta21_ta21_delay97,32,12,GA,7,0.975026,0.000000,0.530931
ta21S,ta21_ta21_delay97,32,12,GA,8,0.973720,0.000000,0.508233
ta21S,ta21_ta21_delay97,32,12,GA,9,1.048240,0.000000,0.571715
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,0,1.086350,0.000000,0.758340
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,1,1.079033,0.000000,0.763028
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,2,1.085044,0.000000,0.760372
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,3,1.079033,0.000000,0.763460
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,4,1.086350,0.000000,0.770673
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,5,1.086350,0.000000,0.751669
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,6,1.086350,0.000000,0.767516
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,7,1.085044,0.000000,0.771349
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,8,1.086350,0.000000,0.797057
ta21S,ta21_ta21_delay97,32,12,Memetic-LS,9,1.086350,0.000000,0.773459
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,0,1.170453,0.048796,0.746506
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,1,1.171106,0.049040,0.742407
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,2,1.170671,0.048796,0.742052
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,3,1.171106,0.048796,0.781441
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,4,1.170889,0.049040,0.730954
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,5,1.171106,0.049040,0.762884
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,6,1.169800,0.049040,0.731861
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,7,1.170671,0.048578,0.730716
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,8,1.170671,0.049040,0.736614
ta21S,ta21_ta21_delay97,32,12,Memetic+repair,9,1.170889,0.048796,0.770095
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,0,1.171542,0.049040,0.712994
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,1,1.171324,0.049040,0.717321
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,2,1.170671,0.049040,0.703399
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,3,1.171324,0.049040,0.704034
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,4,1.171106,0.049040,0.699134
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,5,1.171106,0.049040,0.688865
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,6,1.171977,0.049040,0.690264
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,7,1.171106,0.049040,0.717876
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,8,1.171324,0.049040,0.700647
ta21S,ta21_ta21_delay97,32,12,Memetic+PR,9,1.171324,0.049040,0.720152
la40,la40_la40_delay148,32,8,ILS-baseline,0,1.159113,0.032266,1.098707
la40,la40_la40_delay148,32,8,ILS-baseline,1,1.159113,0.032266,1.062134
la40,la40_la40_delay148,32,8,ILS-baseline,2,1.159113,0.032266,1.054830
la40,la40_la40_delay148,32,8,ILS-baseline,3,1.159113,0.032266,1.052301
la40,la40_la40_delay148,32,8,ILS-baseline,4,1.159113,0.032266,1.044544
la40,la40_la40_delay148,32,8,ILS-baseline,5,1.159113,0.032266,1.119599
la40,la40_la40_delay148,32,8,ILS-baseline,6,1.159113,0.032266,1.067344
la40,la40_la40_delay148,32,8,ILS-baseline,7,1.159113,0.032266,1.097373
la40,la40_la40_delay148,32,8,ILS-baseline,8,1.159113,0.032266,1.073243
la40,la40_la40_delay148,32,8,ILS-baseline,9,1.159113,0.032266,1.075215
la40,la40_la40_delay148,32,8,ILS+repair,0,1.159113,0.032266,1.105066
la40,la40_la40_delay148,32,8,ILS+repair,1,1.159113,0.032266,1.076940
la40,la40_la40_delay148,32,8,ILS+repair,2,1.159113,0.032266,1.067190
la40,la40_la40_delay148,32,8,ILS+repair,3,1.159113,0.032266,1.069951
la40,la40_la40_delay148,32,8,ILS+repair,4,1.159113,0.032266,1.057856
la40,la40_la40_delay148,32,8,ILS+repair,5,1.159113,0.032266,1.125673
la40,la40_la40_delay148,32,8,ILS+repair,6,1.159113,0.032266,1.073561
la40,la40_la40_delay148,32,8,ILS+repair,7,1.159113,0.032266,1.107030
la40,la40_la40_delay148,32,8,ILS+repair,8,1.159113,0.032266,1.080335
la40,la40_la40_delay148,32,8,ILS+repair,9,1.159113,0.032266,1.082012
la40,la40_la40_delay148,32,8,ILS+PR,0,1.159113,0.032266,1.104742
la40,la40_la40_delay148,32,8,ILS+PR,1,1.159113,0.032266,1.076775
la40,la40_la40_delay148,32,8,ILS+PR,2,1.159113,0.032266,1.069451
la40,la40_la40_delay148,32,8,ILS+PR,3,1.159113,0.032266,1.066876
la40,la40_la40_delay148,32,8,ILS+PR,4,1.159113,0.032266,1.057696
la40,la40_la40_delay148,32,8,ILS+PR,5,1.159113,0.032266,1.128640
la40,la40_la40_delay148,32,8,ILS+PR,6,1.159113,0.032266,1.072964
la40,la40_la40_delay148,32,8,ILS+PR,7,1.159113,0.032266,1.103201
la40,la40_la40_delay148,32,8,ILS+PR,8,1.159113,0.032266,1.077267
la40,la40_la40_delay148,32,8,ILS+PR,9,1.159113,0.032266,1.079623
la40,la40_la40_delay148,32,8,GA,0,1.115477,0.000000,0.529521
la40,la40_la40_delay148,32,8,GA,1,1.115477,0.000000,0.565558
la40,la40_la40_delay148,32,8,GA,2,1.115477,0.000000,0.524680
la40,la40_la40_delay148,32,8,GA,3,1.102958,0.000000,0.565564
la40,la40_la40_delay148,32,8,GA,4,1.115477,0.000000,0.728105
la40,la40_la40_delay148,32,8,GA,5,1.102958,0.000000,0.524028
la40,la40_la40_delay148,32,8,GA,6,1.115477,0.000000,0.513673
la40,la40_la40_delay148,32,8,GA,7,1.115477,0.000000,0.465391
la40,la40_la40_delay148,32,8,GA,8,1.115477,0.000000,0.480176
la40,la40_la40_delay148,32,8,GA,9,1.115477,0.000000,0.485764
la40,la40_la40_delay148,32,8,Memetic-LS,0,1.115477,0.000000,0.698225
la40,la40_la40_delay148,32,8,Memetic-LS,1,1.115477,0.000000,0.697590
la40,la40_la40_delay148,32,8,Memetic-LS,2,1.115477,0.000000,0.697826
la40,la40_la40_delay148,32,8,Memetic-LS,3,1.115477,0.000000,0.706704
la40,la40_la40_delay148,32,8,Memetic-LS,4,1.115477,0.000000,0.697453
la40,la40_la40_delay148,32,8,Memetic-LS,5,1.115477,0.000000,0.724073
la40,la40_la40_delay148,32,8,Memetic-LS,6,1.115477,0.000000,0.719567
la40,la40_la40_delay148,32,8,Memetic-LS,7,1.115477,0.000000,0.691254
la40,la40_la40_delay148,32,8,Memetic-LS,8,1.115477,0.000000,0.710954
la40,la40_la40_delay148,32,8,Memetic-LS,9,1.115477,0.000000,0.701119
la40,la40_la40_delay148,32,8,Memetic+repair,0,1.152593,0.025307,0.713720
la40,la40_la40_delay148,32,8,Memetic+repair,1,1.155983,0.028969,0.732653
la40,la40_la40_delay148,32,8,Memetic+repair,2,1.153636,0.026351,0.733773
